Date;Région;Filière;Valeur (TWh)
2014-01;"Île-de-France";"Autre";-1,7011392294819E-19
2014-02;"Île-de-France";"Autre";-1,7047821487814E-19
2014-03;"Île-de-France";"Autre";-5,7370774797505E-20
2014-04;"Île-de-France";"Autre";-1,157962614684E-19
2014-05;"Île-de-France";"Autre";-7,3543948708732E-19
2014-06;"Île-de-France";"Autre";-5,3045241810157E-20
2014-07;"Île-de-France";"Autre";-8,8960089295043E-20
2014-08;"Île-de-France";"Autre";2,5274921044982E-20
2014-09;"Île-de-France";"Autre";-1,1577891423364E-19
2014-10;"Île-de-France";"Autre";-4,7807244274445E-20
2014-11;"Île-de-France";"Autre";-1,3035232615532E-19
2014-12;"Île-de-France";"Autre";-2,8427347281701E-19
2015-01;"Île-de-France";"Autre";1,7231875648616E-19
2015-02;"Île-de-France";"Autre";-5,6852959839926E-20
2015-03;"Île-de-France";"Autre";-2,1505019986989E-19
2015-04;"Île-de-France";"Autre";3,6888721244299E-19
2015-05;"Île-de-France";"Autre";-2,2903554053322E-19
2015-06;"Île-de-France";"Autre";-2,2765036383765E-19
2015-07;"Île-de-France";"Autre";1,9773158804748E-19
2015-08;"Île-de-France";"Autre";6,3837650443599E-19
2015-09;"Île-de-France";"Autre";6,2611027473736E-19
2015-10;"Île-de-France";"Autre";-1,5768636396629E-20
2015-11;"Île-de-France";"Autre";1,215083589301E-18
2015-12;"Île-de-France";"Autre";4,2714963510715E-20
2016-01;"Île-de-France";"Autre";-4,5536577980565E-19
2016-02;"Île-de-France";"Autre";-3,9798112722034E-19
2016-03;"Île-de-France";"Autre";-2,1481080803021E-19
2016-04;"Île-de-France";"Autre";1,9913758142476E-19
2016-05;"Île-de-France";"Autre";1,4563003580825E-21
2016-06;"Île-de-France";"Autre";-1,0009354456386E-21
2016-07;"Île-de-France";"Autre";5,6341216414513E-20
2016-08;"Île-de-France";"Autre";-2,2658264153819E-19
2016-09;"Île-de-France";"Autre";-8,5201810884339E-20
2016-10;"Île-de-France";"Autre";1,4273738441206E-19
2016-11;"Île-de-France";"Autre";-4,8430703891711E-19
2016-12;"Île-de-France";"Autre";6,927791673661E-20
2017-01;"Île-de-France";"Autre";0,000360282
2017-02;"Île-de-France";"Autre";0,000325416
2017-03;"Île-de-France";"Autre";0,000360292
2017-04;"Île-de-France";"Autre";0,00034866
2017-05;"Île-de-France";"Autre";0,000360282
2017-06;"Île-de-France";"Autre";0,00034866
2017-07;"Île-de-France";"Autre";0,000360282
2017-08;"Île-de-France";"Autre";0,000360282
2017-09;"Île-de-France";"Autre";0,00034866
2017-10;"Île-de-France";"Autre";0,00036027
2017-11;"Île-de-France";"Autre";0,00034866
2017-12;"Île-de-France";"Autre";0,000360282
2018-01;"Île-de-France";"Autre";0,00051956
2018-02;"Île-de-France";"Autre";0,00046928
2018-03;"Île-de-France";"Autre";0,000519573
2018-04;"Île-de-France";"Autre";0,0005028
2018-05;"Île-de-France";"Autre";0,00051956
2018-06;"Île-de-France";"Autre";0,0005238
2018-07;"Île-de-France";"Autre";0,00051956
2018-08;"Île-de-France";"Autre";0,00051956
2018-09;"Île-de-France";"Autre";0,0005028
2018-10;"Île-de-France";"Autre";0,000519544
2018-11;"Île-de-France";"Autre";0,0005028
2018-12;"Île-de-France";"Autre";0,000520676
2019-01;"Île-de-France";"Autre";4,4857E-5
2019-02;"Île-de-France";"Autre";4,0516E-5
2019-03;"Île-de-France";"Autre";4,4858E-5
2019-04;"Île-de-France";"Autre";4,341E-5
2019-05;"Île-de-France";"Autre";4,4857E-5
2019-06;"Île-de-France";"Autre";7,212E-5
2019-07;"Île-de-France";"Autre";4,4857E-5
2019-08;"Île-de-France";"Autre";4,4857E-5
2019-09;"Île-de-France";"Autre";4,341E-5
2019-10;"Île-de-France";"Autre";4,4855000000001E-5
2019-11;"Île-de-France";"Autre";4,3410000000001E-5
2019-12;"Île-de-France";"Autre";4,4856999999999E-5
2020-01;"Île-de-France";"Autre";4,4857E-5
2020-02;"Île-de-France";"Autre";4,0512999999998E-5
2020-03;"Île-de-France";"Autre";4,4858E-5
2020-04;"Île-de-France";"Autre";4,3409999999999E-5
2020-05;"Île-de-France";"Autre";4,4857E-5
2020-06;"Île-de-France";"Autre";4,341E-5
2020-07;"Île-de-France";"Autre";4,4857E-5
2020-08;"Île-de-France";"Autre";4,4857E-5
2020-09;"Île-de-France";"Autre";4,341E-5
2020-10;"Île-de-France";"Autre";4,4855E-5
2020-11;"Île-de-France";"Autre";4,341E-5
2020-12;"Île-de-France";"Autre";4,4856999999999E-5
2021-01;"Île-de-France";"Autre";4,4857000000001E-5
2021-02;"Île-de-France";"Autre";4,0516E-5
2021-03;"Île-de-France";"Autre";4,4859E-5
2021-04;"Île-de-France";"Autre";4,341E-5
2021-05;"Île-de-France";"Autre";4,4856999999999E-5
2021-06;"Île-de-France";"Autre";4,341E-5
2021-07;"Île-de-France";"Autre";4,4857E-5
2021-08;"Île-de-France";"Autre";4,4857E-5
2021-09;"Île-de-France";"Autre";4,341E-5
2021-10;"Île-de-France";"Autre";4,4855E-5
2021-11;"Île-de-France";"Autre";4,341E-5
2021-12;"Île-de-France";"Autre";4,4857E-5
2022-01;"Île-de-France";"Autre";5,1462877E-5
2022-02;"Île-de-France";"Autre";5,2336264999999E-5
2022-03;"Île-de-France";"Autre";5,0943615E-5
2022-04;"Île-de-France";"Autre";5,0093599999999E-5
2022-05;"Île-de-France";"Autre";4,8984227E-5
2022-06;"Île-de-France";"Autre";4,3666074E-5
2022-07;"Île-de-France";"Autre";4,5154837E-5
2022-08;"Île-de-France";"Autre";4,5112003000001E-5
2022-09;"Île-de-France";"Autre";4,357839E-5
2022-10;"Île-de-France";"Autre";4,3580264E-5
2022-11;"Île-de-France";"Autre";4,3457378E-5
2022-12;"Île-de-France";"Autre";4,3433666E-5
2023-01;"Île-de-France";"Autre";4,3487607000002E-5
2023-02;"Île-de-France";"Autre";5,0113567E-5
2023-03;"Île-de-France";"Autre";4,6882634000001E-5
2023-04;"Île-de-France";"Autre";4,681302E-5
2023-05;"Île-de-France";"Autre";4,670801E-5
2023-06;"Île-de-France";"Autre";4,361088E-5
2023-07;"Île-de-France";"Autre";4,3477066E-5
2023-08;"Île-de-France";"Autre";4,3477066E-5
2023-09;"Île-de-France";"Autre";4,347489E-5
2023-10;"Île-de-France";"Autre";4,3478088999999E-5
2023-11;"Île-de-France";"Autre";4,347489E-5
2023-12;"Île-de-France";"Autre";4,7251068E-5
2024-01;"Île-de-France";"Autre";4,9792076000002E-5
2024-02;"Île-de-France";"Autre";6,6864272E-5
2024-03;"Île-de-France";"Autre";5,4646725E-5
2024-04;"Île-de-France";"Autre";0,000502131377
2024-05;"Île-de-France";"Autre";0,000157977763
2024-06;"Île-de-France";"Autre";4,4316035E-5
2024-07;"Île-de-France";"Autre";4,4183515E-5
2024-08;"Île-de-France";"Autre";4,4425573E-5
2024-09;"Île-de-France";"Autre";4,4476148000001E-5
2024-10;"Île-de-France";"Autre";4,5215794E-5
2024-11;"Île-de-France";"Autre";4,9703597E-5
2024-12;"Île-de-France";"Autre";8,830748E-5
2025-01;"Île-de-France";"Autre";0,000406341554
2025-02;"Île-de-France";"Autre";0,001024595433
2025-03;"Île-de-France";"Autre";0,001035560658
2025-04;"Île-de-France";"Autre";7,2902376999999E-5
2025-05;"Île-de-France";"Autre";4,4548984E-5
2025-06;"Île-de-France";"Autre";4,454898E-5
2025-07;"Île-de-France";"Autre";4,4548984000001E-5
2025-08;"Île-de-France";"Autre";4,4548984E-5
2025-09;"Île-de-France";"Autre";4,4618970000001E-5
2025-10;"Île-de-France";"Autre";4,5924981000001E-5
2025-11;"Île-de-France";"Autre";5,507699E-5
2014-01;"Île-de-France";"Solaire";0,001568198
2014-02;"Île-de-France";"Solaire";0,002938564
2014-03;"Île-de-France";"Solaire";0,006590477
2014-04;"Île-de-France";"Solaire";0,006938747
2014-05;"Île-de-France";"Solaire";0,008347582
2014-06;"Île-de-France";"Solaire";0,009424704
2014-07;"Île-de-France";"Solaire";0,007915417
2014-08;"Île-de-France";"Solaire";0,007530585
2014-09;"Île-de-France";"Solaire";0,007394077
2014-10;"Île-de-France";"Solaire";0,00408071
2014-11;"Île-de-France";"Solaire";0,002239658
2014-12;"Île-de-France";"Solaire";0,001151801
2015-01;"Île-de-France";"Solaire";0,001538583
