Date;Region;Filère;Valeur (TWh)
2014;"Île-de-France";"Production";3,319117962835
2015;"Île-de-France";"Production";3,598052932027
2016;"Île-de-France";"Production";3,723119028343
2017;"Île-de-France";"Production";3,940137623889
2018;"Île-de-France";"Production";3,28451173154
2019;"Île-de-France";"Production";3,14395467545
2020;"Île-de-France";"Production";3,308761861958
2021;"Île-de-France";"Production";3,705134814982
2022;"Île-de-France";"Production";3,97439382769
2023;"Île-de-France";"Production";3,561325686012
2024;"Île-de-France";"Production";3,181921919347
2025;"Île-de-France";"Production";2,609802941094
2014;"Centre-Val de Loire";"Production";80,51767840383
2015;"Centre-Val de Loire";"Production";82,257642156666
2016;"Centre-Val de Loire";"Production";78,660575714679
2017;"Centre-Val de Loire";"Production";77,975763100668
2018;"Centre-Val de Loire";"Production";77,933995757831
2019;"Centre-Val de Loire";"Production";75,590236010498
2020;"Centre-Val de Loire";"Production";70,347930012711
2021;"Centre-Val de Loire";"Production";73,247203439512
2022;"Centre-Val de Loire";"Production";67,71316559034
2023;"Centre-Val de Loire";"Production";62,464087374793
2024;"Centre-Val de Loire";"Production";75,879681600858
2025;"Centre-Val de Loire";"Production";67,460430619243
2014;"Bourgogne-Franche-Comté";"Production";2,043132189335
2015;"Bourgogne-Franche-Comté";"Production";2,433156586669
2016;"Bourgogne-Franche-Comté";"Production";2,761593707993
2017;"Bourgogne-Franche-Comté";"Production";2,856152403002
2018;"Bourgogne-Franche-Comté";"Production";3,425054366007
2019;"Bourgogne-Franche-Comté";"Production";4,050443100992
2020;"Bourgogne-Franche-Comté";"Production";4,164421845163
2021;"Bourgogne-Franche-Comté";"Production";4,462364021171
2022;"Bourgogne-Franche-Comté";"Production";4,541041649398
2023;"Bourgogne-Franche-Comté";"Production";5,429241967882
2024;"Bourgogne-Franche-Comté";"Production";5,319909471166
2025;"Bourgogne-Franche-Comté";"Production";4,866949427427
2014;"Normandie";"Production";76,767811544642
2015;"Normandie";"Production";70,099370554691
2016;"Normandie";"Production";64,18954943624
2017;"Normandie";"Production";60,015259901768
2018;"Normandie";"Production";66,042216796741
2019;"Normandie";"Production";54,876281743077
2020;"Normandie";"Production";47,836244350459
2021;"Normandie";"Production";70,702836548412
2022;"Normandie";"Production";48,751720234373
2023;"Normandie";"Production";60,241885421614
2024;"Normandie";"Production";67,320784620377
2025;"Normandie";"Production";67,799593083603
2014;"Hauts-de-France";"Production";43,031836046114
2015;"Hauts-de-France";"Production";48,789172507756
2016;"Hauts-de-France";"Production";45,610740798526
2017;"Hauts-de-France";"Production";49,185374931477
2018;"Hauts-de-France";"Production";51,799994011537
2019;"Hauts-de-France";"Production";52,157635586293
2020;"Hauts-de-France";"Production";54,996410155904
2021;"Hauts-de-France";"Production";50,742709727965
2022;"Hauts-de-France";"Production";51,627484939676
2023;"Hauts-de-France";"Production";51,560187555836
2024;"Hauts-de-France";"Production";50,504094463785
2025;"Hauts-de-France";"Production";44,71595311052
2014;"Grand Est";"Production";105,64650401653
